,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,burlatskoye,RU,1612079537,45.0564,43.635,4.03,83,100,4.23
1,saint-philippe,RE,1612079537,-21.3585,55.7679,32.0,58,0,11.83
2,busselton,AU,1612079537,-33.65,115.3333,33.33,43,0,4.02
3,karratha,AU,1612079537,-20.7377,116.8463,31.9,58,100,9.21
4,balaipungut,ID,1612079538,1.05,101.2833,30.0,58,40,0.45
5,bambous virieux,MU,1612079538,-20.3428,57.7575,30.56,66,75,5.14
6,mugur-aksy,RU,1612079538,50.35,90.5,-8.85,83,0,2.14
7,mataura,NZ,1612079538,-46.1927,168.8643,14.94,70,100,0.67
8,alofi,NU,1612079399,-19.0595,-169.9187,25.0,88,100,2.57
9,bethel,US,1612079538,41.3712,-73.414,-10.56,80,27,2.29
10,cape town,ZA,1612079458,-33.9258,18.4232,22.22,83,90,6.69
11,groa,NO,1612079539,62.65,8.7167,-1.0,93,90,1.54
12,mar del plata,AR,1612079539,-38.0023,-57.5575,15.56,58,75,6.17
13,eyl,SO,1612079539,7.9803,49.8164,25.86,61,100,7.59
14,bilibino,RU,1612079539,68.0546,166.4372,-32.49,78,70,3.07
15,tucuman,AR,1612079539,-26.8241,-65.2226,20.0,94,90,2.06
16,albany,US,1612079539,42.6001,-73.9662,-12.78,59,16,1.99
17,geraldton,AU,1612079472,-28.7667,114.6,35.0,24,0,11.32
18,saint george,US,1612079330,37.1041,-113.5841,2.22,80,1,1.26
19,katsuura,JP,1612079358,35.1333,140.3,11.11,34,20,6.69
20,tayoltita,MX,1612079540,24.0833,-105.9333,15.84,45,4,2.6
21,yellowknife,CA,1612079540,62.456,-114.3525,-26.67,76,1,2.06
22,castro,BR,1612079363,-24.7911,-50.0119,17.92,95,100,2.07
23,mitsamiouli,KM,1612079540,-11.3847,43.2844,28.87,72,75,5.13
24,bredasdorp,ZA,1612079540,-34.5322,20.0403,26.11,64,0,3.13
25,korsakovo,RU,1612079541,53.2677,37.3569,-2.48,99,100,4.51
26,kodiak,US,1612079541,57.79,-152.4072,-2.0,59,1,7.2
27,locri,IT,1612079541,38.2414,16.2623,15.0,67,75,6.17
28,borovichi,RU,1612079541,58.3878,33.9155,-6.39,97,100,2.73
29,kristiansund,NO,1612079541,63.1115,7.732,-1.0,93,90,1.54
30,svetlyy,RU,1612079541,54.675,20.1347,1.11,86,75,4.0
31,pietersburg,ZA,1612079541,-23.9045,29.4688,24.0,69,59,3.09
32,meulaboh,ID,1612079541,4.1363,96.1285,29.27,67,22,3.7
33,rikitea,PF,1612079542,-23.1203,-134.9692,25.95,77,43,4.35
34,norman wells,CA,1612079542,65.282,-126.8329,-30.0,76,75,1.03
35,sao filipe,CV,1612079542,14.8961,-24.4956,22.72,62,88,4.33
36,kaeo,NZ,1612079542,-35.1,173.7833,18.33,73,1,0.89
37,georgetown,MY,1612079542,5.4112,100.3354,32.0,51,20,3.6
38,chalmette,US,1612079542,29.9427,-89.9634,20.56,82,90,3.6
39,puerto ayora,EC,1612079542,-0.7393,-90.3518,25.0,92,19,2.24
40,port elizabeth,ZA,1612079542,-33.918,25.5701,24.0,60,0,2.57
41,adrar,MR,1612079317,20.5022,-10.0711,16.71,29,37,3.68
42,punta arenas,CL,1612079543,-53.15,-70.9167,9.0,71,0,6.69
43,shingu,JP,1612079321,33.7333,135.9833,11.0,43,20,5.14
44,ostrovnoy,RU,1612079484,68.0531,39.5131,-8.97,94,93,4.52
45,avarua,CK,1612079397,-21.2078,-159.775,25.0,88,75,2.06
46,kapaa,US,1612079543,22.0752,-159.319,23.0,83,40,9.26
47,sicamous,CA,1612079543,50.8331,-118.9856,1.0,93,100,1.03
48,bandarbeyla,SO,1612079544,9.4942,50.8122,25.38,58,38,7.55
49,acapulco,MX,1612079325,16.8634,-99.8901,23.73,81,94,1.57
50,thompson,CA,1612079544,55.7435,-97.8558,-11.0,92,90,1.03
51,ancud,CL,1612079545,-41.8697,-73.8203,8.89,93,0,3.09
52,bucak,TR,1612079365,37.4592,30.595,13.0,93,75,2.06
53,coihaique,CL,1612079545,-45.5752,-72.0662,6.0,87,0,0.7
54,atuona,PF,1612079545,-9.8,-139.0333,26.28,74,67,9.02
55,dikson,RU,1612079546,73.5069,80.5464,-35.71,79,0,2.87
56,qaanaaq,GL,1612079546,77.484,-69.3632,-19.64,88,100,0.29
57,alvaraes,BR,1612079546,-3.2208,-64.8042,22.14,99,68,1.02
58,gamba,GA,1612079546,-2.65,10.0,25.99,82,100,0.48
59,baishishan,CN,1612079368,43.5833,127.5667,-9.14,95,100,1.18
60,hithadhoo,MV,1612079546,-0.6,73.0833,28.01,76,71,7.26
61,hobart,AU,1612079315,-42.8794,147.3294,19.0,48,40,5.14
62,provideniya,RU,1612079546,64.3833,-173.3,-22.88,87,100,9.41
63,elizabeth city,US,1612079547,36.2946,-76.2511,1.11,80,90,2.04
64,ushuaia,AR,1612079547,-54.8,-68.3,7.0,76,20,3.6
65,mana,GF,1612079547,5.6592,-53.7767,24.8,85,12,5.62
66,qandala,SO,1612079390,11.472,49.8728,23.99,55,2,2.79
67,coahuayana,MX,1612079547,18.7333,-103.6833,22.37,82,0,1.29
68,hermanus,ZA,1612079374,-34.4187,19.2345,26.11,64,11,3.13
69,lagunas,PE,1612079547,-5.2269,-75.6753,22.42,91,76,0.42
70,khatanga,RU,1612079548,71.9667,102.5,-44.33,78,46,0.98
71,deputatskiy,RU,1612079548,69.3,139.9,-34.1,87,100,1.04
72,tuktoyaktuk,CA,1612079548,69.4541,-133.0374,-29.33,84,99,0.61
73,port alfred,ZA,1612079548,-33.5906,26.891,24.44,76,99,0.95
74,saint-pierre,RE,1612079548,-21.3393,55.4781,32.0,58,0,11.83
75,bluff,NZ,1612079548,-46.6,168.3333,13.78,78,100,2.07
76,vrangel,RU,1612079549,42.7297,133.0839,-8.96,81,38,1.94
77,torbay,CA,1612079549,47.6666,-52.7314,-1.11,93,90,8.23
78,jiaojiang,CN,1612079367,28.6803,121.4428,20.0,68,21,0.89
79,puerto baquerizo moreno,EC,1612079549,-0.9,-89.6,24.63,85,22,3.85
80,bambanglipuro,ID,1612079549,-7.95,110.2833,29.31,68,97,3.72
81,ormara,PK,1612079549,25.2088,64.6357,22.61,56,0,6.32
82,pando,UY,1612079317,-34.7167,-55.95,19.0,72,90,7.72
83,romny,UA,1612079550,50.751,33.4747,-3.64,97,100,6.32
84,hambantota,LK,1612079550,6.1241,81.1185,32.0,66,75,5.14
85,itoman,JP,1612079359,26.1247,127.6694,20.0,52,40,4.63
86,sitka,US,1612079550,57.0531,-135.33,2.0,69,1,2.92
87,candido mendes,BR,1612079550,-1.4467,-45.7167,23.84,92,88,1.53
88,muros,ES,1612079550,42.7762,-9.0603,14.44,93,100,2.24
89,new norfolk,AU,1612079551,-42.7826,147.0587,18.89,48,66,0.89
90,santander,ES,1612079544,43.4647,-3.8044,13.0,71,75,5.66
91,menongue,AO,1612079374,-14.6585,17.691,22.16,76,100,3.51
92,carnarvon,AU,1612079401,-24.8667,113.6333,31.0,62,2,7.72
93,port keats,AU,1612079552,-14.25,129.55,26.85,86,100,4.27
94,kenai,US,1612079552,60.5544,-151.2583,-11.11,85,1,2.06
95,kodinsk,RU,1612079392,58.6881,99.1844,-33.12,79,69,1.12
96,dali,CN,1612079552,25.7,100.1833,13.3,44,56,4.39
97,coolum beach,AU,1612079553,-26.5333,153.1,25.0,93,9,0.45
98,yeppoon,AU,1612079553,-23.1333,150.7333,29.0,54,28,5.66
99,pisco,PE,1612079397,-13.7,-76.2167,21.0,73,0,2.06
100,chokurdakh,RU,1612079553,70.6333,147.9167,-35.31,85,30,4.15
101,starkville,US,1612079380,33.4504,-88.8184,13.89,100,90,1.54
102,ribeira grande,PT,1612079553,38.5167,-28.7,17.0,100,75,4.63
103,ahipara,NZ,1612079484,-35.1667,173.1667,17.25,74,8,1.52
104,birjand,IR,1612079553,32.8663,59.2211,12.0,37,20,5.14
105,at-bashi,KG,1612079374,41.1702,75.8106,-3.0,82,65,0.56
106,camachile,PH,1612079554,14.6436,120.5808,30.0,45,40,7.72
107,seymchan,RU,1612079554,62.8833,152.4333,-33.93,81,100,3.9
108,la ronge,CA,1612079554,55.1001,-105.2842,-11.0,79,24,0.72
109,bairiki,KI,1612079554,1.3292,172.9752,27.0,83,40,3.09
110,port hedland,AU,1612079218,-20.3167,118.5667,34.0,52,75,7.72
111,salumbar,IN,1612079335,24.1333,74.05,23.0,20,0,2.06
112,sinnamary,GF,1612079554,5.3833,-52.95,25.08,84,58,6.17
113,cravo norte,CO,1612079555,6.3017,-70.2041,25.16,62,58,2.47
114,klaksvik,FO,1612079555,62.2266,-6.589,-1.0,74,71,3.6
115,liuzhou,CN,1612079320,24.3126,109.3892,23.77,37,36,3.4
116,vaini,TO,1612079555,-21.2,-175.2,26.0,94,75,2.57
117,segou,ML,1612079325,13.4317,-6.2157,19.34,24,0,4.28
118,khurda,IN,1612079555,20.1833,85.6167,26.0,38,85,2.57
119,mecca,SA,1612079100,21.4267,39.8261,24.98,28,6,1.0
120,bengkulu,ID,1612079262,-3.8004,102.2655,27.5,74,100,4.13
121,warmbad,NA,1612079555,-28.45,18.7333,24.78,25,0,1.81
122,kahului,US,1612079556,20.8947,-156.47,21.0,83,20,5.66
123,utrecht,NL,1612079538,52.0,5.25,-3.89,93,45,0.89
124,samarai,PG,1612079556,-10.6167,150.6667,29.08,74,100,8.26
125,salinas,US,1612079384,36.6777,-121.6555,10.0,87,90,1.36
126,cockburn town,TC,1612079467,21.4612,-71.1419,22.98,72,2,9.01
127,bayangol,RU,1612079556,50.6977,103.4656,-21.32,78,2,3.12
128,victoria,HK,1612079553,22.2855,114.1577,25.0,46,20,3.6
129,ayagoz,KZ,1612079352,47.9714,80.4392,-5.01,91,16,5.32
130,jamestown,US,1612079381,42.097,-79.2353,-6.11,73,90,3.09
131,tiksi,RU,1612079557,71.6872,128.8694,-32.35,87,100,2.42
132,clyde river,CA,1612079557,70.4692,-68.5914,-18.0,78,90,1.54
133,mangai,CD,1612079321,-4.05,19.5333,20.85,98,100,2.09
134,broome,US,1612079557,42.2506,-75.833,-12.0,85,75,1.54
135,iquique,CL,1612079376,-20.2208,-70.1431,20.0,68,0,3.6
136,tautira,PF,1612079557,-17.7333,-149.15,26.0,73,75,1.54
137,port blair,IN,1612079557,11.6667,92.75,28.36,67,0,5.0
138,traverse city,US,1612079558,44.7631,-85.6206,-3.0,63,90,3.09
139,nikolskoye,RU,1612079558,59.7035,30.7861,-4.0,93,75,1.0
140,cambridge,CA,1612079558,43.3601,-80.3127,-7.22,86,75,3.09
141,nyurba,RU,1612079558,63.2842,118.3319,-42.82,78,65,0.83
142,solnechnyy,RU,1612079558,50.7214,136.6319,-24.2,87,98,2.38
143,rundu,NA,1612079558,-17.9333,19.7667,21.06,87,100,3.28
144,marawi,PH,1612079558,7.9986,124.2928,27.22,84,91,5.81
145,oga,IT,1612079558,46.4631,10.347,7.22,100,90,2.93
146,vila franca do campo,PT,1612079559,37.7167,-25.4333,17.22,100,75,6.69
147,lusambo,CD,1612079559,-4.9667,23.45,23.76,92,100,1.59
148,igboho,NG,1612079559,8.8333,3.75,24.91,18,35,1.69
149,novikovo,RU,1612079559,51.1537,37.8879,2.3,97,100,6.19
150,porto belo,BR,1612079559,-27.1578,-48.5531,25.56,85,63,0.89
151,natal,BR,1612079559,-5.795,-35.2094,25.0,88,75,2.57
152,atambua,ID,1612079396,-9.1061,124.8925,25.37,85,100,3.98
153,ust-kishert,RU,1612079559,57.3654,57.2495,-4.31,97,97,4.45
154,balkanabat,TM,1612079329,39.5108,54.3671,11.64,59,72,1.72
155,altus,US,1612079379,34.6381,-99.334,5.0,65,1,6.17
156,voi,KE,1612079560,-3.3945,38.563,27.57,54,30,4.8
157,ivanovka,KG,1612079560,42.8878,75.085,6.0,52,0,3.0
158,kavieng,PG,1612079560,-2.5744,150.7967,28.37,74,100,4.98
159,mahebourg,MU,1612079560,-20.4081,57.7,30.0,66,75,5.14
160,perth,AU,1612078930,-31.9333,115.8333,37.0,15,0,6.17
161,east london,ZA,1612079560,-33.0153,27.9116,22.0,88,90,2.57
162,khonsa,IN,1612079560,27.0167,95.5667,17.27,53,24,1.76
163,hennebont,FR,1612079561,47.8051,-3.2734,10.0,100,90,2.57
164,nichinan,JP,1612079359,31.6,131.3667,13.0,47,20,4.12
165,cherskiy,RU,1612079561,68.75,161.3,-37.22,83,0,0.72
166,faanui,PF,1612079561,-16.4833,-151.75,27.88,72,100,5.39
167,zelenoborskiy,RU,1612079561,66.845,32.3622,-12.22,96,100,1.68
168,luau,AO,1612079374,-10.7073,22.2247,23.64,87,77,1.33
169,kaitangata,NZ,1612079561,-46.2817,169.8464,13.65,87,100,0.97
170,san patricio,US,1612079562,28.017,-97.5169,18.0,100,1,3.59
171,canton,CN,1612079341,23.1167,113.25,25.0,36,0,2.0
172,mahon,ES,1612079562,39.8885,4.2658,12.0,62,0,7.2
173,poretskoye,RU,1612079562,55.1974,46.3291,1.59,87,100,8.06
174,butaritari,KI,1612079562,3.0707,172.7902,27.49,80,81,7.3
175,college,US,1612079562,64.8569,-147.8028,-20.56,77,90,0.62
176,dunedin,NZ,1612079506,-45.8742,170.5036,15.0,83,30,4.02
177,tudela,ES,1612079563,42.0617,-1.6045,10.0,62,90,7.2
178,hilo,US,1612079563,19.7297,-155.09,21.0,78,20,2.57
179,matongo,TZ,1612079563,-2.3833,34.0833,25.74,56,24,3.06
180,kijang,KR,1612079387,35.2442,129.2139,12.0,22,0,4.12
181,santa isabel do rio negro,BR,1612079563,-0.4139,-65.0192,22.26,98,25,0.95
182,wamba,NG,1612079563,8.9333,8.6,27.08,16,0,1.52
183,upernavik,GL,1612079563,72.7868,-56.1549,-23.13,84,44,1.36
184,tasiilaq,GL,1612079563,65.6145,-37.6368,-9.0,57,75,1.54
185,longyearbyen,SJ,1612079564,78.2186,15.6401,-21.0,54,20,7.2
186,benghazi,LY,1612079365,32.1167,20.0667,17.57,59,0,8.73
187,west wendover,US,1612079564,40.7391,-114.0733,-3.0,74,1,1.54
188,rio grande,BR,1612079364,-32.035,-52.0986,20.0,99,100,3.37
189,sabha,LY,1612079365,27.0377,14.4283,16.93,32,0,5.85
190,port lincoln,AU,1612079317,-34.7333,135.8667,20.04,59,49,4.76
191,dicabisagan,PH,1612079564,17.0818,122.4157,22.17,82,100,5.36
192,talara,PE,1612079397,-4.5772,-81.2719,24.86,67,1,4.42
193,codrington,AU,1612079565,-38.2667,141.9667,17.11,66,0,5.81
194,bago,MM,1612079326,17.3367,96.4797,34.0,38,20,5.14
195,mount isa,AU,1612079369,-20.7333,139.5,39.0,22,40,4.12
196,umm lajj,SA,1612079565,25.0213,37.2685,22.69,28,0,4.38
197,iskateley,RU,1612079565,67.6803,53.1512,-15.56,94,100,5.31
198,cidreira,BR,1612079565,-30.1811,-50.2056,22.9,92,99,5.53
199,chuy,UY,1612079325,-33.6971,-53.4616,20.95,86,100,6.81
200,denpasar,ID,1612078880,-8.65,115.2167,30.0,70,20,7.2
201,port hardy,CA,1612079566,50.6996,-127.4199,7.0,87,90,10.8
202,morehead,US,1612079566,37.2711,-87.1764,7.22,81,90,6.69
203,barrow,US,1612079566,71.2906,-156.7887,-28.0,69,90,3.09
204,pianezza,IT,1612079566,45.1058,7.5434,4.44,100,74,1.54
205,acajutla,SV,1612079358,13.5928,-89.8275,24.5,65,67,3.29
206,sydney,AU,1612078937,-33.8679,151.2073,22.0,83,90,6.69
207,vagur,FO,1612079567,61.4732,-6.8119,1.37,83,28,7.72
208,zabol,AF,1612079567,32.25,67.25,12.45,35,50,9.6
209,belle glade,US,1612079378,26.6845,-80.6676,18.33,95,16,4.27
